Millis,Load_Cell,Linear_Pot (scaled),Velocity,Thermocouple
5125,17.39,3.406,9.904,
5136,17.51,3.428,1.981,
5146,17.38,3.493,6.537,
5157,17.3,3.581,7.923,
5169,17.58,3.653,6.052,
5179,17.65,3.719,6.537,
5190,17.7,3.777,5.282,
5200,17.92,3.886,10.894,
5212,17.93,3.958,6.052,
5222,17.94,4.045,8.716,
5233,17.99,4.118,6.603,
5243,18.13,4.213,9.442,
5255,18.2,4.263,4.237,
5266,18.35,4.351,7.923,
5276,18.43,4.423,7.263,
5287,18.32,4.51,7.923,
5298,18.43,4.518,0.66,
5309,18.47,4.656,12.545,
5319,18.43,4.728,7.263,
5330,18.31,4.939,19.148,
5341,18.13,4.895,-3.962,
5352,18.1,4.975,7.263,
5362,18.25,4.975,0,
5373,18.23,5.113,12.545,
5385,18,5.229,9.684,
5395,17.73,5.273,4.358,
5406,17.47,5.353,7.263,
5416,17.49,5.425,7.263,
5428,17.51,5.513,7.263,
5438,17.21,5.578,6.537,
5449,17.19,5.701,11.225,
5459,17.18,5.709,0.726,
5471,16.97,5.781,6.052,
5482,16.85,5.847,5.942,
5492,17.01,5.912,6.537,
5504,16.85,5.999,7.263,
5514,16.53,6.028,2.905,
5525,16.26,6.108,7.263,
5535,15.92,6.159,5.084,
5547,15.63,6.217,4.842,
5557,15.7,6.282,6.537,
5568,15.54,6.333,4.622,
5579,15.18,6.399,5.942,
5590,15.02,6.435,3.301,
5601,14.76,6.5,5.942,
5611,14.54,6.551,5.084,
5622,14.38,6.602,4.622,
5633,14.03,6.653,4.622,
5644,13.89,6.624,-2.641,
5654,13.73,6.74,11.621,
5665,13.45,6.798,5.282,
5677,13.18,6.813,1.21,
5687,12.9,6.856,4.358,
5698,12.66,6.9,3.962,
5708,12.52,6.922,2.179,
5720,12.1,6.965,3.631,
5730,11.59,6.98,1.453,
5741,11.43,7.11,11.885,
5751,11.33,7.052,-5.81,
5763,10.98,7.074,1.816,
5773,10.73,7.096,2.179,
5784,10.4,7.154,5.282,
5795,10.06,7.118,-3.301,
5806,9.81,7.147,2.641,
5817,9.55,7.016,-11.885,
5827,9.36,7.161,14.526,
5838,8.99,7.183,1.981,
5849,8.27,7.183,0,
5860,7.91,7.19,0.66,
5870,7.59,7.183,-0.726,
5881,6.92,7.147,-3.301,
5893,5.71,7.19,3.631,
5903,4.21,7.183,-0.726,
5914,2.98,7.241,5.282,
5924,1.89,7.169,-7.263,
5936,0.91,7.154,-1.21,
5946,0.02,7.154,0,
5957,-1.11,7.139,-1.321,
5967,-1.6,7.103,-3.631,
5979,-1.8,7.081,-1.816,
5990,-2.07,7.001,-7.263,
6000,-2.25,7.052,5.084,
6011,-2.4,7.001,-4.622,
6022,-2.55,6.972,-2.641,
6033,-2.75,6.943,-2.641,
6043,-3.05,6.878,-6.537,
6054,-3.19,6.871,-0.66,
6065,-3.16,6.834,-3.301,
6076,-3.46,6.798,-3.301,
6087,-3.79,6.704,-8.583,
6097,-3.82,6.74,3.631,
6109,-3.94,6.66,-6.658,
6119,-4.32,6.609,-5.084,
6130,-4.52,6.558,-4.622,
6140,-4.6,6.464,-9.442,
6152,-4.57,6.435,-2.421,
6162,-4.62,6.362,-7.263,
6173,-4.99,6.341,-1.981,
6184,-5.29,6.282,-5.282,
6195,-5.54,6.217,-5.942,
6206,-5.6,6.159,-5.282,
