Millis,Load_Cell,Linear_Pot (scaled),Smoothed_Velocity,Velocity,Highpass_Velocity,Thermocouple
4833,-21.98,4.51,-19.411,-21.063,-21.063,
4844,-22.21,4.307,-18.982,-18.488,-18.488,
4854,-22.35,4.089,-20.239,-21.789,-21.789,
4866,-22.31,3.878,-18.984,-17.552,-17.552,
4876,-22.07,3.668,-19.929,-21.063,-21.063,
4887,-21.47,3.464,-19.218,-18.488,-18.488,
4897,-20.91,3.268,-19.399,-19.61,-19.61,
4909,-20.13,3.079,-17.599,-15.736,-15.736,
4920,-19.24,2.891,-17.386,-17.167,-17.167,
4930,-18.22,2.716,-17.293,-17.431,-17.431,
4941,-17.08,2.549,-16.26,-15.186,-15.186,
4952,-15.87,2.397,-15.11,-13.866,-13.866,
4963,-14.56,2.252,-14.205,-13.205,-13.205,
4973,-13.16,2.121,-13.597,-13.073,-13.073,
4984,-11.83,1.997,-12.393,-11.225,-11.225,
4996,-10.48,1.888,-10.752,-9.079,-9.079,
5006,-9.04,1.801,-9.763,-8.716,-8.716,
5017,-7.74,1.721,-8.496,-7.263,-7.263,
5027,-6.66,1.656,-7.5,-6.537,-6.537,
5039,-5.59,1.612,-5.545,-3.631,-3.631,
5049,-4.47,1.583,-4.268,-2.905,-2.905,
5060,-3.22,1.569,-2.778,-1.321,-1.321,
5070,-1.66,1.569,-1.4,0,0,
5082,0.28,1.576,-0.316,0.605,0.605,
5093,1.53,1.612,1.435,3.301,3.301,
5103,2.26,1.663,3.154,5.084,5.084,
5114,2.55,1.729,4.567,5.942,5.942,
5125,2.77,1.808,5.951,7.263,7.263,
5136,3.08,1.903,7.316,8.583,8.583,
5146,3.53,2.005,8.694,10.168,10.168,
5157,4.25,2.128,9.966,11.225,11.225,
5168,5.55,2.266,11.274,12.545,12.545,
5179,8.3,2.411,12.278,13.205,13.205,
5190,14.4,2.578,13.715,15.186,15.186,
5200,22.67,2.724,14.172,14.526,14.526,
5212,29.55,2.891,14.141,13.921,13.921,
5222,38.12,3.072,15.947,18.157,18.157,
5233,44.44,3.261,16.541,17.167,17.167,
5243,47.27,3.45,17.649,18.884,18.884,
5255,49.39,3.646,17.113,16.342,16.342,
5266,50.77,3.849,17.82,18.488,18.488,
5276,52.05,4.053,18.908,20.336,20.336,
5287,53.02,4.256,18.734,18.488,18.488,
5298,53.25,4.459,18.663,18.488,18.488,
5309,53.34,4.663,18.642,18.488,18.488,
5319,52.91,4.866,19.374,20.336,20.336,
5330,52.15,5.062,18.626,17.827,17.827,
5341,51.06,5.258,18.281,17.827,17.827,
5352,49.75,5.447,17.761,17.167,17.167,
5363,48.05,5.636,17.448,17.167,17.167,
5373,45.82,5.818,17.692,18.157,18.157,
5385,43.47,5.985,15.866,13.921,13.921,
5395,40.97,6.152,16.187,16.705,16.705,
5406,38.17,6.304,15.048,13.866,13.866,
5416,35.22,6.45,14.749,14.526,14.526,
5428,32.23,6.587,13.119,11.5,11.5,
5439,29.18,6.711,12.216,11.225,11.225,
5449,26.1,6.82,11.511,10.894,10.894,
5460,23.06,6.914,10.069,8.583,8.583,
5471,20.4,7.001,8.984,7.923,7.923,
5482,18.29,7.067,7.502,5.942,5.942,
5492,16.32,7.118,6.314,5.084,5.084,
5504,14.22,7.147,4.336,2.421,2.421,
5514,11.94,7.169,3.252,2.179,2.179,
5525,9.78,7.169,1.607,0,0,
5536,7.22,7.161,0.44,-0.66,-0.66,
5547,4.25,7.132,-1.093,-2.641,-2.641,
5558,0.85,7.081,-2.817,-4.622,-4.622,
5568,-2.48,7.031,-3.955,-5.084,-5.084,
5579,-4.18,6.965,-5.005,-5.942,-5.942,
5590,-5.08,6.885,-6.17,-7.263,-7.263,
5601,-6.44,6.776,-7.975,-9.904,-9.904,
