Millis,Load_Cell,Linear_Pot (scaled),Thermocouple
8024,0.02,6.769,
8035,0.01,6.776,
8045,0.01,6.769,
8056,0.01,6.776,
8067,0.01,6.769,
8078,0.01,6.776,
8088,0.01,6.769,
8099,0.02,6.784,
8111,0,6.776,
8121,0,6.769,
8132,0.01,6.776,
8142,0,6.769,
8154,0.02,6.776,
8164,0.04,6.776,
8175,0.03,6.769,
8185,0,6.769,
8197,0.01,6.769,
8207,0.02,6.776,
8218,0.01,6.769,
8229,0,6.776,
8240,-0.01,6.776,
8251,0.01,6.769,
8261,0.02,6.776,
8272,0.02,6.776,
8283,0.02,6.769,
8294,0.01,6.776,
8304,0,6.776,
8315,-0.02,6.769,
8327,0,6.769,
8337,0.01,6.769,
8348,0,6.776,
8358,0.01,6.769,
8370,0.02,6.769,
8380,0.03,6.769,
8391,0.01,6.769,
8401,0,6.769,
8413,-0.01,6.769,
8424,0.01,6.769,
8434,0.03,6.769,
8445,0.03,6.769,
8456,0.03,6.776,
8467,0.02,6.769,
8477,0,6.769,
8488,-0.01,6.769,
8499,0.02,6.776,
8510,0.04,6.776,
8521,0.01,6.769,
8531,-0.02,6.776,
8543,0.01,6.769,
8553,0.02,6.762,
8564,0.02,6.776,
8574,0.02,6.769,
8586,0.02,6.769,
8596,0.01,6.769,
8607,-0.01,6.769,
8619,-0.01,6.769,
8629,0,6.776,
8640,0,6.776,
8650,0.02,6.776,
8662,0.04,6.776,
8672,0.02,6.776,
8683,-0.01,6.776,
8693,-0.01,6.769,
8705,0.01,6.769,
8715,0.01,6.769,
8726,0.02,6.769,
8737,0.01,6.769,
8748,0.01,6.769,
8759,0.01,6.776,
8769,0.01,6.769,
8780,-0.01,6.769,
8791,0,6.769,
8802,0.02,6.769,
8812,0.01,6.769,
8823,0.01,6.762,
8835,0.01,6.776,
8845,-0.01,6.769,
8856,-0.01,6.769,
8866,0,6.776,
8878,0.01,6.776,
8888,0.01,6.762,
8899,0,6.769,
8909,0,6.769,
8921,0.02,6.776,
8932,0.02,6.776,
8942,0,6.769,
8953,-0.01,6.769,
8964,0.01,6.769,
8975,0,6.776,
8985,-0.01,6.776,
8996,0,6.762,
9007,0.03,6.762,
9018,0.02,6.776,
9029,0.01,6.776,
9039,0.01,6.769,
9051,0.02,6.769,
9061,0.02,6.762,
9072,0,6.769,
9082,-0.03,6.769,
9094,-0.01,6.769,
9104,0,6.776,
9115,0.01,6.769,
9126,0.02,6.776,
9137,0.03,6.769,
9148,0.03,6.776,
9158,0.02,6.769,
9169,-0.01,6.769,
9180,0,6.776,
9191,0.01,6.769,
9201,0,6.769,
9212,0.02,6.776,
9223,0.02,6.769,
9234,0.01,6.776,
9245,0.02,6.776,
9255,0,6.769,
9267,-0.01,6.776,
9277,0.02,6.769,
9288,0.01,6.776,
9298,0.01,6.776,
9310,0.01,6.762,
9320,0.02,6.769,
9331,0.02,6.769,
9342,0.01,6.769,
9353,0.02,6.776,
9364,0.02,6.769,
9374,0.01,6.769,
9385,0.01,6.776,
9396,0.01,6.769,
9407,0.02,6.769,
9417,0.01,6.776,
9428,-0.01,6.769,
9440,-0.01,6.776,
9450,0.01,6.769,
9461,0.04,6.769,
9472,0.02,6.776,
9483,0,6.769,
9493,0,6.776,
9504,-0.01,6.776,
9515,-0.01,6.776,
9526,-0.01,6.769,
9536,0,6.769,
9547,0.02,6.769,
9559,0.02,6.776,
9569,0.01,6.769,
9580,0.01,6.776,
9590,0.03,6.776,
9602,0.03,6.776,
9612,0.01,6.769,
9623,0.01,6.776,
9633,0.01,6.776,
9645,0,6.769,
9656,0.01,6.776,
9666,0.01,6.762,
9677,0.01,6.769,
9688,0.01,6.776,
9699,0.01,6.776,
9709,0.02,6.769,
9720,0.02,6.769,
9731,0.01,6.769,
9742,0,6.769,
9753,0,6.769,
9763,0,6.776,
9775,0.01,6.776,
9785,-0.01,6.769,
9796,-0.01,6.769,
9806,0.01,6.769,
9818,0.02,6.769,
9828,0.02,6.769,
9839,0,6.769,
9849,0.01,6.769,
9861,0.01,6.776,
9872,0.03,6.769,
9882,0.02,6.776,
9893,0.01,6.769,
9904,0,6.769,
9915,0.01,6.769,
9925,0.01,6.769,
9936,0.01,6.776,
9947,0,6.769,
9958,0.02,6.762,
9969,0.02,6.769,
9979,0,6.776,
9991,-0.01,6.769,
10001,0.03,6.776,
10012,0.02,6.769,
10022,0.01,6.776,
10034,0.02,6.776,
10044,0.02,6.769,
10055,0.01,6.776,
10066,0.01,6.769,
10077,0,6.776,
10088,0,6.776,
10098,0,6.776,
10109,0.01,6.776,
10120,0.03,6.776,
10131,0.01,6.776,
10141,-0.02,6.769,
10152,0.01,6.769,
10163,0.01,6.769,
10174,0,6.769,
10185,0.01,6.769,
10195,0.02,6.769,
10207,0.01,6.776,
10217,0.02,6.769,
10228,0.02,6.776,
10238,0.01,6.769,
10250,0.02,6.762,
10260,0.04,6.769,
10271,0.02,6.769,
10283,0,6.769,
10293,0.01,6.769,
10304,-0.01,6.769,
10314,0.01,6.769,
10326,0.02,6.769,
10336,0.02,6.776,
10347,0.02,6.769,
10357,0.01,6.769,
10369,-0.01,6.769,
10380,0.01,6.769,
10390,-0.01,6.769,
10401,-0.02,6.769,
10412,-0.01,6.769,
10423,-0.02,6.769,
10433,0,6.769,
10444,0.01,6.769,
10455,0.01,6.776,
10466,0.01,6.769,
10477,0.03,6.769,
10487,0.04,6.776,
10499,0.02,6.769,
10509,0,6.769,
10520,0,6.769,
10530,0.01,6.776,
10542,0,6.769,
10552,0.03,6.776,
10563,0.01,6.769,
10573,-0.01,6.776,
10585,-0.02,6.776,
10596,-0.02,6.769,
10606,0,6.769,
10617,0.01,6.769,
10628,0,6.769,
10639,0,6.769,
10649,0,6.776,
10660,0,6.776,
10671,-0.01,6.776,
10682,-0.02,6.776,
10693,-0.02,6.769,
10703,0,6.776,
10715,0,6.769,
10725,0.01,6.769,
10736,0.01,6.776,
10746,-0.01,6.769,
10758,0.02,6.776,
10768,0.03,6.769,
10779,0.02,6.776,
10790,0.04,6.776,
10801,0.03,6.776,
10812,0.02,6.769,
10822,0.02,6.776,
10833,0.03,6.769,
10844,0.02,6.776,
10855,0.01,6.769,
10865,0,6.776,
10876,0.02,6.769,
10888,0.03,6.769,
10898,0.02,6.769,
10909,0.02,6.769,
10919,0.02,6.769,
10931,0.01,6.769,
10941,0,6.776,
10952,0,6.776,
10962,-0.01,6.769,
10974,0,6.776,
10985,0,6.769,
10995,0.01,6.769,
11006,0.02,6.776,
11017,0,6.769,
11028,0,6.776,
11038,0.02,6.769,
11049,0.01,6.769,
11060,0.01,6.769,
11071,0,6.769,
11082,0.01,6.776,
11092,0.03,6.769,
11104,0.01,6.769,
11114,-0.01,6.769,
11125,-0.01,6.769,
11136,0.01,6.769,
11147,0.02,6.769,
11157,0.02,6.769,
11168,0.02,6.769,
11179,0.01,6.776,
11190,0.02,6.769,
11201,0.02,6.769,
11211,0.02,6.769,
11223,0,6.776,
11233,-0.01,6.776,
11244,0.02,6.776,
11254,0,6.769,
11266,0,6.776,
11276,0.02,6.769,
11287,0,6.769,
11298,0.01,6.769,
11309,0.02,6.776,
11320,0.01,6.776,
11330,0.01,6.769,
11341,0,6.769,
11352,0.02,6.769,
11363,0.02,6.776,
11373,0.01,6.769,
11384,0.01,6.769,
11396,0.03,6.776,
11406,0,6.776,
11417,0.01,6.769,
11427,0.02,6.769,
11439,0.03,6.769,
11449,0.02,6.776,
11460,0,6.769,
11470,0,6.769,
11482,0,6.776,
11493,0.01,6.776,
11503,0.02,6.769,
11514,0.01,6.769,
11525,0.01,6.769,
11536,0,6.776,
11546,0.02,6.769,
11557,0.01,6.776,
11568,0,6.769,
11579,0.01,6.769,
11589,-0.01,6.769,
11600,0,6.769,
11612,0.01,6.769,
11622,0.01,6.762,
11633,0.02,6.769,
11643,0.02,6.769,
11655,0.01,6.769,
11665,0,6.776,
11676,0.01,6.762,
11686,0.04,6.776,
11698,0.04,6.776,
11709,0.02,6.776,
11719,-0.01,6.769,
11730,0.01,6.776,
11741,0.03,6.776,
11752,0.03,6.776,
11762,0.02,6.769,
11773,0.02,6.769,
11784,0.04,6.776,
11795,0.03,6.769,
11806,0.02,6.776,
11816,0,6.769,
11828,-0.01,6.769,
11838,-0.01,6.776,
11849,0.01,6.776,
11859,0.01,6.769,
11871,-0.01,6.769,
11881,0,6.776,
11892,-0.01,6.776,
11904,-0.02,6.769,
11914,-0.02,6.776,
11925,0,6.776,
11935,0.01,6.769,
11947,0.01,6.776,
11957,0.03,6.769,
11968,0.02,6.776,
11978,0.03,6.769,
11990,0.02,6.769,
12000,0.02,6.769,
12011,0.02,6.776,
12022,0.02,6.776,
12033,0,6.769,
12044,0,6.769,
12054,0.02,6.769,
12065,0.02,6.776,
12076,0.02,6.769,
12087,0.01,6.769,
12097,0.01,6.769,
12108,0.02,6.769,
12120,0,6.769,
12130,0,6.776,
12141,0,6.776,
12151,-0.01,6.776,
12163,-0.01,6.769,
12173,0.01,6.776,
12184,0,6.769,
12194,-0.01,6.769,
12206,0.02,6.776,
12217,0.03,6.776,
12227,0.01,6.769,
12238,-0.01,6.776,
12249,0.01,6.769,
12260,0.01,6.769,
12270,0.01,6.776,
12281,0.01,6.769,
12292,0,6.769,
12303,0.01,6.776,
12313,0,6.776,
12324,0.01,6.769,
12336,-0.01,6.769,
12346,-0.01,6.769,
12357,0,6.776,
12367,0.02,6.776,
12379,0.01,6.769,
12389,-0.01,6.776,
12400,0,6.776,
12410,0.01,6.769,
12422,-0.01,6.769,
12433,-0.01,6.776,
12443,-0.01,6.776,
12454,0.02,6.762,
12465,0.02,6.776,
12476,0,6.769,
12486,-0.01,6.776,
12497,0.01,6.769,
12508,0.02,6.769,
12519,0.02,6.776,
12530,0.01,6.776,
12540,0,6.769,
12552,0,6.776,
12562,-0.01,6.776,
12573,0.03,6.769,
12583,0.01,6.776,
12595,0.01,6.776,
12605,0,6.769,
12616,-0.02,6.776,
12627,0.02,6.769,
12638,0.02,6.769,
12649,0,6.769,
12659,0.01,6.769,
12670,0.02,6.776,
12681,0.01,6.776,
12692,0,6.776,
12702,0,6.776,
12713,0.02,6.769,
12724,0.03,6.769,
12735,0.03,6.769,
12746,0.02,6.769,
12756,0,6.769,
12768,0.01,6.769,
12778,0.01,6.776,
12789,0.01,6.769,
12800,0.01,6.776,
12811,0.02,6.776,
12821,0.01,6.769,
12832,0.01,6.762,
12844,0.01,6.769,
12854,0.01,6.769,
12865,0.02,6.769,
12875,0.02,6.776,
12887,0,6.769,
12897,0,6.769,
12908,0,6.769,
12918,0.01,6.769,
12930,0.02,6.769,
12941,0.03,6.769,
12951,0.01,6.769,
12962,0.01,6.769,
12973,0.01,6.769,
12984,0.03,6.769,
12994,0.02,6.769,
13005,0,6.769,
13016,0.02,6.769,
13027,0.01,6.776,
